Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S39182346,Little Tinamou,Crypturellus soui,56,1,EC-P,,L1641819,Rio Silanche--general area,.1070796,-79.1358788,2017-09-14,07:00 AM,eBird - Traveling Count,240,1,.322,,2,,Heard only
S37818957,Snow Goose,Anser caerulescens,240,8,CA-MB,Churchill and Northern Manitoba,L6022878,Churchill--Before Town,58.7517337,-94.141081,2017-06-26,10:20 AM,IBA Canada (protocol),10,1,.161,,2
S37341808,Snow Goose,Anser caerulescens,240,6,CA-MB,Churchill and Northern Manitoba,L551923,Churchill--Bird Cove,58.7503943,-93.883667,2017-06-02,01:16 PM,eBird - Traveling Count,120,1,1.609,,2
S38561905,Snow Goose,Anser caerulescens,240,X,CA-MB,Churchill and Northern Manitoba,L551010,Churchill--Churchill Northern Studies Centre,58.7340939,-93.8174057,2017-06-02,,Historical,,0,,,,,"In distance or flight, white-morph only","CNSC Room 11 Window List, spanning 06/02/17 to 08/09/17. Counts not included"
S38019382,Snow Goose,Anser caerulescens,240,5,CA-MB,Churchill and Northern Manitoba,L5927475,Churchill--East Point,58.7739924,-93.8298512,2017-07-06,06:49 PM,IBA Canada (protocol),40,1,2.414,,3,FL Recently Fledged Young
S37933605,Snow Goose,Anser caerulescens,240,3,CA-MB,Churchill and Northern Manitoba,L5958586,Churchill--Eastern Estuary,58.7714747,-93.8154745,2017-07-02,09:29 AM,eBird - Traveling Count,191,1,3.219,,2,F Flyover
S38155723,Snow Goose,Anser caerulescens,240,30,CA-MB,Churchill and Northern Manitoba,L5958586,Churchill--Eastern Estuary,58.7714747,-93.8154745,2017-07-15,12:36 PM,eBird - Traveling Count,130,1,2.414,,2,FL Recently Fledged Young
S38561468,Snow Goose,Anser caerulescens,240,25,CA-MB,Churchill and Northern Manitoba,L5958586,Churchill--Eastern Estuary,58.7714747,-93.8154745,2017-08-08,01:33 PM,IBA Canada (protocol),40,1,1.609,,2
S38382273,Snow Goose,Anser caerulescens,240,2,CA-MB,Churchill and Northern Manitoba,L964704,Churchill--Golf Balls,58.7655299,-93.9664078,2017-07-29,04:36 PM,IBA Canada (protocol),29,1,1.287,,2
S37359178,Snow Goose,Anser caerulescens,240,1,CA-MB,Churchill and Northern Manitoba,L553774,Churchill--Half-way Point,58.7675771,-93.8611794,2017-06-03,02:38 PM,IBA Canada (protocol),48,1,.805,,2
S37389458,Snow Goose,Anser caerulescens,240,3,CA-MB,Churchill and Northern Manitoba,L5933844,Churchill--Old Coast,58.7651811,-94.1029644,2017-06-04,08:53 AM,IBA Canada (protocol),62,1,3.219,,3
S37359327,Snow Goose,Anser caerulescens,240,1,CA-MB,Churchill and Northern Manitoba,L558737,Churchill--Old Dump,58.7573396,-94.0307808,2017-06-03,01:06 PM,IBA Canada (protocol),62,1,1.609,,2
