"order","family"
"Struthioniformes","Struthionidae (Ostriches)"
"Rheiformes","Rheidae (Rheas)"
"Tinamiformes","Tinamidae (Tinamous)"
"Casuariiformes","Casuariidae (Cassowaries and Emu)"
"Apterygiformes","Apterygidae (Kiwis)"
"Anseriformes","Anhimidae (Screamers)"
"Anseriformes","Anseranatidae (Magpie Goose)"
"Anseriformes","Anatidae (Ducks/Geese/Waterfowl)"
"Galliformes","Megapodiidae (Megapodes)"
"Galliformes","Cracidae (Guans/Chachalacas/Curassows)"
"Galliformes","Numididae (Guineafowl)"
"Galliformes","Odontophoridae (New World Quail)"
"Galliformes","Phasianidae (Pheasants/Grouse/Allies)"
"Phoenicopteriformes","Phoenicopteridae (Flamingos)"
"Podicipediformes","Podicipedidae (Grebes)"
"Columbiformes","Columbidae (Pigeons and Doves)"
"Mesitornithiformes","Mesitornithidae (Mesites)"
"Pterocliformes","Pteroclidae (Sandgrouse)"
"Otidiformes","Otididae (Bustards)"
"Musophagiformes","Musophagidae (Turacos)"
"Cuculiformes","Cuculidae (Cuckoos)"
"Caprimulgiformes","Podargidae (Frogmouths)"
"Caprimulgiformes","Caprimulgidae (Nightjars and Allies)"
"Caprimulgiformes","Nyctibiidae (Potoos)"
"Caprimulgiformes","Steatornithidae (Oilbird)"
"Caprimulgiformes","Aegothelidae (Owlet-nightjars)"
"Caprimulgiformes","Apodidae (Swifts)"
"Caprimulgiformes","Hemiprocnidae (Treeswifts)"
"Caprimulgiformes","Trochilidae (Hummingbirds)"
"Opisthocomiformes","Opisthocomidae (Hoatzin)"
"Gruiformes","Sarothruridae (Flufftails)"
"Gruiformes","Rallidae (Rails/Gallinules/Coots)"
"Gruiformes","Heliornithidae (Finfoots)"
"Gruiformes","Aramidae (Limpkin)"
"Gruiformes","Psophiidae (Trumpeters)"
"Gruiformes","Gruidae (Cranes)"
"Charadriiformes","Chionidae (Sheathbills)"
"Charadriiformes","Pluvianellidae (Magellanic Plover)"
"Charadriiformes","Burhinidae (Thick-knees)"
"Charadriiformes","Pluvianidae (Egyptian Plover)"
"Charadriiformes","Recurvirostridae (Stilts and Avocets)"
"Charadriiformes","Ibidorhynchidae (Ibisbill)"
"Charadriiformes","Haematopodidae (Oystercatchers)"
"Charadriiformes","Charadriidae (Plovers and Lapwings)"
"Charadriiformes","Pedionomidae (Plains-wanderer)"
"Charadriiformes","Thinocoridae (Seedsnipes)"
"Charadriiformes","Rostratulidae (Painted-Snipes)"
"Charadriiformes","Jacanidae (Jacanas)"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)"
"Charadriiformes","Turnicidae (Buttonquail)"
"Charadriiformes","Dromadidae (Crab-Plover)"
"Charadriiformes","Glareolidae (Pratincoles and Coursers)"
"Charadriiformes","Stercorariidae (Skuas and Jaegers)"
"Charadriiformes","Alcidae (Auks/Murres/Puffins)"
"Charadriiformes","Laridae (Gulls/Terns/Skimmers)"
"Eurypygiformes","Rhynochetidae (Kagu)"
"Eurypygiformes","Eurypygidae (Sunbittern)"
"Phaethontiformes","Phaethontidae (Tropicbirds)"
"Gaviiformes","Gaviidae (Loons)"
"Sphenisciformes","Spheniscidae (Penguins)"
"Procellariiformes","Diomedeidae (Albatrosses)"
"Procellariiformes","Oceanitidae (Southern Storm-Petrels)"
"Procellariiformes","Hydrobatidae (Northern Storm-Petrels)"
"Procellariiformes","Procellariidae (Shearwaters and Petrels)"
"Ciconiiformes","Ciconiidae (Storks)"
"Suliformes","Fregatidae (Frigatebirds)"
"Suliformes","Sulidae (Boobies and Gannets)"
"Suliformes","Anhingidae (Anhingas)"
"Suliformes","Phalacrocoracidae (Cormorants and Shags)"
"Pelecaniformes","Pelecanidae (Pelicans)"
"Pelecaniformes","Balaenicipitidae (Shoebill)"
"Pelecaniformes","Scopidae (Hamerkop)"
"Pelecaniformes","Ardeidae (Herons/Egrets/Bitterns)"
"Pelecaniformes","Threskiornithidae (Ibises and Spoonbills)"
"Cathartiformes","Cathartidae (New World Vultures)"
"Accipitriformes","Sagittariidae (Secretarybird)"
"Accipitriformes","Pandionidae (Osprey)"
"Accipitriformes","Accipitridae (Hawks/Eagles/Kites)"
"Strigiformes","Tytonidae (Barn-Owls)"
"Strigiformes","Strigidae (Owls)"
"Coliiformes","Coliidae (Mousebirds)"
"Leptosomiformes","Leptosomidae (Cuckoo-roller)"
"Trogoniformes","Trogonidae (Trogons)"
"Bucerotiformes","Upupidae (Hoopoes)"
"Bucerotiformes","Phoeniculidae (Woodhoopoes and Scimitarbills)"
"Bucerotiformes","Bucorvidae (Ground-Hornbills)"
"Bucerotiformes","Bucerotidae (Hornbills)"
"Coraciiformes","Todidae (Todies)"
"Coraciiformes","Momotidae (Motmots)"
"Coraciiformes","Alcedinidae (Kingfishers)"
"Coraciiformes","Meropidae (Bee-eaters)"
"Coraciiformes","Coraciidae (Rollers)"
"Coraciiformes","Brachypteraciidae (Ground-Rollers)"
"Galbuliformes","Bucconidae (Puffbirds)"
"Galbuliformes","Galbulidae (Jacamars)"
"Piciformes","Lybiidae (African Barbets)"
"Piciformes","Megalaimidae (Asian Barbets)"
"Piciformes","Capitonidae (New World Barbets)"
"Piciformes","Semnornithidae (Toucan-Barbets)"
"Piciformes","Ramphastidae (Toucans)"
"Piciformes","Indicatoridae (Honeyguides)"
"Piciformes","Picidae (Woodpeckers)"
"Cariamiformes","Cariamidae (Seriemas)"
"Falconiformes","Falconidae (Falcons and Caracaras)"
"Psittaciformes","Strigopidae (New Zealand Parrots)"
"Psittaciformes","Cacatuidae (Cockatoos)"
"Psittaciformes","Psittaculidae (Old World Parrots)"
"Psittaciformes","Psittacidae (New World and African Parrots)"
"Passeriformes","Acanthisittidae (New Zealand Wrens)"
"Passeriformes","Calyptomenidae (African and Green Broadbills)"
"Passeriformes","Eurylaimidae (Asian and Grauer's Broadbills)"
"Passeriformes","Sapayoidae (Sapayoa)"
"Passeriformes","Philepittidae (Asities)"
"Passeriformes","Pittidae (Pittas)"
"Passeriformes","Thamnophilidae (Typical Antbirds)"
"Passeriformes","Melanopareiidae (Crescentchests)"
"Passeriformes","Conopophagidae (Gnateaters)"
"Passeriformes","Grallariidae (Antpittas)"
"Passeriformes","Rhinocryptidae (Tapaculos)"
"Passeriformes","Formicariidae (Antthrushes)"
"Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)"
"Passeriformes","Tyrannidae (Tyrant Flycatchers)"
"Passeriformes","Oxyruncidae (Sharpbill)"
"Passeriformes","Cotingidae (Cotingas)"
"Passeriformes","Pipridae (Manakins)"
"Passeriformes","Tityridae (Tityras and Allies)"
"Passeriformes","Menuridae (Lyrebirds)"
"Passeriformes","Atrichornithidae (Scrub-birds)"
"Passeriformes","Ptilonorhynchidae (Bowerbirds)"
"Passeriformes","Climacteridae (Australasian Treecreepers)"
"Passeriformes","Maluridae (Fairywrens)"
"Passeriformes","Meliphagidae (Honeyeaters)"
"Passeriformes","Dasyornithidae (Bristlebirds)"
"Passeriformes","Pardalotidae (Pardalotes)"
"Passeriformes","Acanthizidae (Thornbills and Allies)"
"Passeriformes","Pomatostomidae (Pseudo-Babblers)"
"Passeriformes","Orthonychidae (Logrunners)"
"Passeriformes","Cnemophilidae (Satinbirds)"
